2025-11-09 00:52:23|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2025-11-09 01:24:29|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 01:24:55|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 01:34, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 01:34:03|ERROR   |root                            |BAZARR SignalR client for Radarr connection as been lost. Trying to reconnect...|
2025-11-09 01:34:03|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-11-09 01:34:03|ERROR   |root                            |BAZARR SignalR client for Sonarr connection as been lost. Trying to reconnect...|
2025-11-09 01:34:05|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2025-11-09 01:34:06|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2025-11-09 01:35:05|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 01:35:05|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 01:45, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 01:45:07|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 01:45:08|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 01:55, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 01:55:24|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 01:55:25|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:05, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 01:55:45|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:05, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 01:56:26|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 02:05:06|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 02:05:52|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 02:05:53|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:15, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:16:31|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 02:16:31|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:26, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:16:52|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:26, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:21:19|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 02:27:13|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 02:27:13|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:37, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:27:34|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:37, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:38:08|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 02:38:09|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:48, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:38:29|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 02:48, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 02:49:06|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
